primary_type,community_area,count
LIQUOR LAW VIOLATION,16,225
MOTOR VEHICLE THEFT,16,5707
NARCOTICS,16,3574
NON-CRIMINAL,16,1
OBSCENITY,16,13
OFFENSE INVOLVING CHILDREN,16,576
OTHER NARCOTIC VIOLATION,16,2
OTHER OFFENSE,16,5225
PROSTITUTION,16,88
PUBLIC INDECENCY,16,1
PUBLIC PEACE VIOLATION,16,613
ROBBERY,16,2252
SEX OFFENSE,16,439
STALKING,16,58
THEFT,16,17614
WEAPONS VIOLATION,16,482
ARSON,17,86
ASSAULT,17,2478
BATTERY,17,6448
BURGLARY,17,3462
CRIM SEXUAL ASSAULT,17,96
CRIMINAL DAMAGE,17,7352
CRIMINAL SEXUAL ASSAULT,17,18
CRIMINAL TRESPASS,17,864
DECEPTIVE PRACTICE,17,2526
GAMBLING,17,39
HOMICIDE,17,21
INTERFERENCE WITH PUBLIC OFFICER,17,51
INTIMIDATION,17,30
KIDNAPPING,17,67
LIQUOR LAW VIOLATION,17,114
MOTOR VEHICLE THEFT,17,2165
NARCOTICS,17,1454
NON-CRIMINAL,17,1
OBSCENITY,17,8
OFFENSE INVOLVING CHILDREN,17,318
OTHER NARCOTIC VIOLATION,17,2
OTHER OFFENSE,17,4074
PROSTITUTION,17,12
PUBLIC INDECENCY,17,1
PUBLIC PEACE VIOLATION,17,194
ROBBERY,17,725
SEX OFFENSE,17,219
STALKING,17,25
THEFT,17,9211
WEAPONS VIOLATION,17,196
ARSON,18,39
ASSAULT,18,944
BATTERY,18,2634
BURGLARY,18,1328
CONCEALED CARRY LICENSE VIOLATION,18,1
CRIM SEXUAL ASSAULT,18,42
CRIMINAL DAMAGE,18,2570
CRIMINAL SEXUAL ASSAULT,18,9
CRIMINAL TRESPASS,18,218
DECEPTIVE PRACTICE,18,801
GAMBLING,18,13
HOMICIDE,18,11
HUMAN TRAFFICKING,18,1
INTERFERENCE WITH PUBLIC OFFICER,18,17
INTIMIDATION,18,10
KIDNAPPING,18,17
LIQUOR LAW VIOLATION,18,20
MOTOR VEHICLE THEFT,18,1209
NARCOTICS,18,449
OBSCENITY,18,3
OFFENSE INVOLVING CHILDREN,18,141
OTHER OFFENSE,18,1413
PROSTITUTION,18,16
PUBLIC PEACE VIOLATION,18,91
ROBBERY,18,351
SEX OFFENSE,18,65
STALKING,18,6
THEFT,18,3767
WEAPONS VIOLATION,18,90
ARSON,19,381
ASSAULT,19,8034
BATTERY,19,22170
BURGLARY,19,8997
CONCEALED CARRY LICENSE VIOLATION,19,18
CRIM SEXUAL ASSAULT,19,490
CRIMINAL DAMAGE,19,16818
CRIMINAL SEXUAL ASSAULT,19,67
CRIMINAL TRESPASS,19,2400
DECEPTIVE PRACTICE,19,5062
GAMBLING,19,61
HOMICIDE,19,136
HUMAN TRAFFICKING,19,1
INTERFERENCE WITH PUBLIC OFFICER,19,373
INTIMIDATION,19,119
KIDNAPPING,19,161
LIQUOR LAW VIOLATION,19,325
MOTOR VEHICLE THEFT,19,8939
NARCOTICS,19,7515
NON-CRIMINAL,19,9
OBSCENITY,19,9
OFFENSE INVOLVING CHILDREN,19,1343
OTHER NARCOTIC VIOLATION,19,2
OTHER OFFENSE,19,9368
PROSTITUTION,19,1338
PUBLIC INDECENCY,19,3
